Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Anthony Jung,Werder Bremen,"D(CL),M(L)",14,1150,2,2,0,0,0.9,79.4,0.9,0,6.67
Fran García,Rayo Vallecano,D(L),14,1260,0,2,0,0,0.7,85.6,0.1,0,6.67
Leonardo Bonucci,Juventus,D(C),6,596,1,0,1,0,0.3,85.4,1.2,0,6.66
Edgar Badia,Elche,GK,14,1260,0,0,2,0,0.0,69.0,0.1,2,6.66
Sergio Camello,Rayo Vallecano,FW,11,940,2,2,0,0,2.1,81.6,0.8,0,6.66
Sebastian Rode,Eintracht Frankfurt,"D(R),M(C)",8,604,3,1,2,0,0.3,86.6,0.4,0,6.66
Vitaliy Mykolenko,Everton,"D(CL),M(L)",15,1285,0,0,2,0,0.3,77.0,0.7,0,6.66
Luis Alberto,Lazio,"AM(CL),FW",5,541,3,1,1,0,0.7,85.6,0.2,0,6.66
Maxence Caqueret,Lyon,DMC,11,976,0,1,1,0,0.6,87.1,0.5,0,6.66
Predrag Rajkovic,Mallorca,GK,14,1260,0,0,1,0,0.0,59.6,0.0,1,6.66
Boubakary Soumaré,Leicester,DMC,9,675,0,0,3,0,0.1,91.4,0.7,0,6.66
Grischa Prömel,Hoffenheim,M(C),13,1074,1,1,3,0,1.7,79.8,0.9,0,6.66
Wahbi Khazri,Montpellier,"M(CLR),FW",8,711,2,1,2,0,1.6,77.2,0.5,0,6.66
Sergi Roberto,Barcelona,"D(R),M(CR)",3,371,2,0,1,0,0.6,93.9,0.0,0,6.66
Ferland Mendy,Real Madrid,"D(L),M(L)",11,890,0,1,2,0,0.1,92.5,0.5,0,6.66
Jubal,Auxerre,D(C),15,1350,1,1,2,0,0.5,86.8,1.8,0,6.66
Koray Günter,Verona,D(C),11,1003,1,1,3,0,0.7,77.0,1.7,0,6.66
Kai Havertz,Chelsea,"M(CR),FW",11,889,3,0,3,0,1.7,80.1,2.2,0,6.66
Muhammed Cham,Clermont Foot,AM(C),10,867,3,2,0,0,1.2,84.2,0.2,1,6.66
Vincent Le Goff,Lorient,"D(L),M(L)",15,1350,0,0,1,0,0.5,82.9,0.5,0,6.66
Munas Dabbur,Hoffenheim,"AM(C),FW",4,422,4,0,1,0,1.1,73.9,0.1,0,6.66
Jeffrey Gouweleeuw,Augsburg,D(C),14,1197,0,0,7,0,0.5,66.2,2.6,0,6.65
Koke,Atletico,M(CLR),8,743,0,2,2,0,0.3,84.9,0.4,0,6.65
Kurt Zouma,West Ham,D(CR),14,1185,1,0,0,0,0.7,86.2,2.3,1,6.65
Flavius Daniliuc,Salernitana,D(CR),9,843,0,1,3,0,0.4,88.8,2.0,0,6.65
Justin Kluivert,Valencia,AM(LR),5,520,2,0,1,0,1.2,80.6,0.4,1,6.65
João Félix,Atletico,"AM(CL),FW",5,512,3,3,5,0,1.6,75.8,0.5,1,6.65
Danilo Cataldi,Lazio,M(C),12,920,0,0,3,0,0.3,88.5,0.2,0,6.65
Yvon Mvogo,Lorient,GK,14,1183,0,0,0,0,0.0,69.6,0.2,0,6.65
Massadio Haïdara,Lens,"D(CL),M(L)",8,739,0,0,3,0,0.2,89.4,1.4,0,6.65
Ederson,Man City,GK,14,1260,0,1,0,0,0.0,86.6,0.3,0,6.65
Adam Marusic,Lazio,"D(CLR),M(LR)",14,1302,0,1,4,0,0.4,89.3,1.0,0,6.65
Saúl Ñíguez,Atletico,"D(CL),M(CLR)",6,464,0,1,5,0,0.8,77.5,1.5,0,6.65
Jordan Ayew,Crystal Palace,"AM(CLR),FW",11,907,0,1,1,0,0.4,83.4,1.6,0,6.65
